ID,configuration,time,reaction_time,reaction_type,group,block,stimulus_in_block,block_type,stimulus_id,target_non_target,taget_filename,non_target_filename
drei,1,51949,0,2,group1,block1,33,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,53549,0,2,group1,block1,34,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,54849,0,4,group1,block1,35,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,56465,0,2,group1,block1,36,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,57865,0,4,group1,block1,37,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,59199,0,2,group1,block1,38,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,60532,0,4,group1,block1,39,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,61965,0,2,group1,block1,40,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,63332,0,2,group1,block1,41,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,64815,0,2,group1,block1,42,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,66199,0,2,group1,block1,43,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,67915,0,2,group1,block1,44,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,69532,0,2,group1,block1,45,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,70999,0,2,group1,block1,46,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,72448,0,4,group1,block1,47,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,73982,0,2,group1,block1,48,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,75648,0,4,group1,block1,49,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,77198,0,2,group1,block1,50,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,78648,0,4,group1,block1,51,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,80348,0,2,group1,block1,52,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,81632,0,2,group1,block1,53,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,83215,0,2,group1,block1,54,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,84598,0,2,group1,block1,55,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,86198,0,2,group1,block1,56,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,87665,0,4,group1,block1,57,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,89065,0,2,group1,block1,58,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,90615,0,4,group1,block1,59,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,91915,0,2,group1,block1,60,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,103665,0,2,group1,block2,1,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,105098,0,2,group1,block2,2,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,106748,0,4,group1,block2,3,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,108015,0,2,group1,block2,4,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,109415,0,4,group1,block2,5,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,110781,0,2,group1,block2,6,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,112148,0,2,group1,block2,7,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,113465,0,2,group1,block2,8,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,115181,0,2,group1,block2,9,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,116831,0,4,group1,block2,10,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,118381,0,2,group1,block2,11,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,120048,0,4,group1,block2,12,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,121748,0,2,group1,block2,13,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,123148,0,2,group1,block2,14,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,124648,0,2,group1,block2,15,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,126348,0,4,group1,block2,16,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,128014,0,2,group1,block2,17,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,129431,0,4,group1,block2,18,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,130664,0,2,group1,block2,19,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,132314,0,2,group1,block2,20,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,133698,0,4,group1,block2,21,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,135181,0,2,group1,block2,22,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,136648,0,2,group1,block2,23,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,138148,0,2,group1,block2,24,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,139698,0,4,group1,block2,25,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,141314,0,2,group1,block2,26,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,142747,0,2,group1,block2,27,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,144081,0,2,group1,block2,28,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,145597,0,2,group1,block2,29,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,146947,0,4,group1,block2,30,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,148397,0,2,group1,block2,31,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,150131,0,4,group1,block2,32,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,151597,0,2,group1,block2,33,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,152964,0,2,group1,block2,34,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,154647,0,2,group1,block2,35,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,155930,0,4,group1,block2,36,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,157181,0,2,group1,block2,37,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,158631,0,2,group1,block2,38,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,160031,0,2,group1,block2,39,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,161414,0,2,group1,block2,40,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,162964,0,2,group1,block2,41,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,164264,0,2,group1,block2,42,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,165547,0,2,group1,block2,43,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,167197,0,4,group1,block2,44,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,168747,0,2,group1,block2,45,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,170097,0,2,group1,block2,46,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,171747,0,4,group1,block2,47,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,173047,0,2,group1,block2,48,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,174530,0,2,group1,block2,49,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,175964,0,2,group1,block2,50,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,177264,0,2,group1,block2,51,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,178764,0,4,group1,block2,52,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,180280,0,2,group1,block2,53,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,181814,0,2,group1,block2,54,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,183097,0,2,group1,block2,55,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,184680,0,2,group1,block2,56,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,186414,0,2,group1,block2,57,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,187664,0,2,group1,block2,58,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
drei,1,189330,0,4,group1,block2,59,Inhibition,1,non_target,stimulus_b.jpg,stimulus_b.jpg
drei,1,191030,0,2,group1,block2,60,Inhibition,2,target,stimulus_b.jpg,stimulus_b.jpg
